Protein,Attention_Weight
fis1,1.0318191
tacc3,1.0317969
bcan,1.0316103
cdhr1,1.031183
tnfrsf11b,1.0310575
il13ra2,1.0308135
nrgn,1.0297211
nectin2,1.0294385
rgs8,1.0292048
c1qtnf1,1.0289311
c7,1.0284159
s100a13,1.028259
mamdc2,1.0280824
galnt3,1.0279523
orm1,1.0278625
s100a14,1.0278324
siglec8,1.0276687
stat2,1.0268548
igf2r,1.0262938
tnni3,1.0261497
prkar2a,1.0257305
kynu,1.0257181
apoe,1.025476
skap2,1.025416
cda,1.0254107
cdc26,1.025141
fstl3,1.0244117
casp1,1.0243194
fen1,1.0243176
zpr1,1.0240252
ctsz,1.0237398
siglec9,1.0236382
prg3,1.0231427
cep170,1.0230875
areg,1.0226492
clec11a,1.0219295
inhbb,1.0217452
rbpms2,1.0216786
pcbp2,1.0212862
prss53,1.0210115
ttr,1.020891
lilra2,1.0208293
ugdh,1.0207858
evpl,1.0204934
igfbp7,1.0202875
fcrl1,1.0202637
il7r,1.0195804
mzt1,1.0193276
dpp7,1.0191312
ass1,1.0189867
eef1d,1.0188875
vat1,1.0188575
nectin4,1.0187361
serpind1,1.0185907
ppp2r5a,1.0180783
sf3b4,1.0179942
megf9,1.0179346
axl,1.01792
dcn,1.0175544
timp1,1.0175475
il21r,1.0175328
nmnat1,1.0173045
il2rb,1.0171721
ephb4,1.0170834
rnase4,1.0168221
myh4,1.0168144
dffa,1.0166892
atrn,1.0166545
zhx2,1.0154171
clec4g,1.0152482
ndst1,1.0150194
adam22,1.0146329
nudt10,1.0143372
snap29,1.0143214
bst2,1.0142295
tgfbi,1.0141363
vsnl1,1.0141312
sez6,1.0140407
srpk2,1.0138503
slc4a1,1.0137194
clec5a,1.0134884
pamr1,1.0129545
ca2,1.0128368
pfdn2,1.0122902
vamp8,1.011626
asgr1,1.0115465
pdgfb,1.0114231
thpo,1.0113761
lbp,1.011327
ampd3,1.0110711
adh1b,1.0108039
tmprss5,1.0107875
mmp7,1.0107224
gucy2c,1.0106905
tnfrsf13b,1.0101254
kif22,1.0100853
susd1,1.010056
lilrb4,1.0099162
lmod1,1.0094187
siae,1.0089394
cd3g,1.0087909
zbtb17,1.0087883
efna1,1.0087624
lrrfip1,1.0084662
morc3,1.0084386
clec1b,1.0079604
f11r,1.0076644
chgb,1.0075543
carhsp1,1.0072075
zp4,1.007165
rspo3,1.0071487
itga5,1.0071241
rpe,1.0069854
cmc1,1.0069313
nos1,1.0068657
tax1bp1,1.0067664
tbc1d17,1.0066993
arhgef5,1.0065837
aarsd1,1.0064992
c19orf12,1.0064766
mfap4,1.006334
tpmt,1.0063146
cfp,1.0062969
gabarapl1,1.0061808
adam8,1.0061773
mdk,1.0057904
ophn1,1.0055244
sod2,1.0054648
rabgap1l,1.0050598
myl6b,1.0047535
fgfbp2,1.0045329
tnfrsf6b,1.0044516
egln1,1.004244
pilra,1.0041808
hpse,1.0038172
fabp6,1.0037392
idi2,1.0033492
smndc1,1.0030481
il18,1.0030196
snapin,1.0028363
tbcc,1.0028025
pvr,1.002783
sla2,1.0026878
kif20b,1.0026164
lifr,1.0025926
bcl2l1,1.0023987
msra,1.0021992
cd276,1.0021031
adamts13,1.0020916
amy2a,1.0017188
ace,1.0016534
lamb1,1.0016181
rtbdn,1.0013381
dkk1,1.0012584
hsd11b1,1.0009758
tctn3,1.000912
plxnb3,1.0008814
cpe,1.0006211
b3gnt7,1.0006075
vgf,1.0004917
ptgds,1.0004144
angptl7,0.9998985
suox,0.9998483
sat1,0.9998386
rbfox3,0.9996989
inhbc,0.9992789
spock1,0.99926555
ckap4,0.99921715
cep290,0.9989875
serpina7,0.99896026
gpd1,0.9986571
ofd1,0.998435
cntn2,0.9983893
batf,0.9981928
ndufb7,0.9981568
cebpb,0.99791026
lypd8,0.9976517
osmr,0.9976436
uxs1,0.9976375
itga2,0.9975394
nfx1,0.99742323
gapdh,0.99705076
il17d,0.99663186
crnn,0.99650127
atxn2,0.99646914
twf2,0.99596703
mansc4,0.9959239
myl4,0.9955371
lyn,0.99550205
aprt,0.9954885
gp1ba,0.9954382
txn,0.9953032
ido1,0.99497724
dlg4,0.99497056
pla2g7,0.99485654
fkbp5,0.99478376
calcb,0.9944302
ppp1r14d,0.9943582
dpep2,0.9942187
b4gat1,0.99335855
art3,0.9932115
serpini1,0.99308157
f2r,0.99304676
sema3g,0.9929492
fndc1,0.99294204
csf3r,0.9929211
bcam,0.99273753
cgref1,0.9923078
ctsc,0.99214154
tlr2,0.99208367
itgax,0.99204075
scara5,0.9919534
nbn,0.99156535
b4galt1,0.99122536
f2,0.9911025
stx6,0.9910954
il17f,0.9906981
sparcl1,0.9900916
lilra6,0.9900159
lrp2bp,0.9894732
tdo2,0.9891765
cradd,0.98913795
gfra1,0.98907244
ment,0.9889613
tsc1,0.98863745
dnajb1,0.9885267
fhit,0.9881028
scarb2,0.9880142
impact,0.9878851
